BEGIN_YEARMONTH,BEGIN_DAY,END_YEARMONTH,END_DAY,EVENT_ID,STATE,EVENT_TYPE,CZ_NAME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
199605,9,199605,13,5544674,IOWA,Flood,TAYLOR,0,0,0,0,,,,,,
199605,24,199605,24,5544487,IOWA,Flash Flood,POLK,0,0,0,0,.3M,50K,,,,
199605,24,199605,24,5544488,IOWA,Flash Flood,ADAIR,0,0,0,0,75K,50K,,,,
199605,24,199605,24,5544489,IOWA,Flash Flood,CASS,0,0,0,0,75K,50K,,,,
199605,9,199605,13,5544665,IOWA,Flood,WARREN,0,0,0,0,,,,,,
199605,9,199605,10,5557822,IOWA,Flood,JOHNSON,0,0,0,0,,,,,,
199606,17,199606,25,5553838,IOWA,Flood,GRUNDY,0,0,0,0,,,,,,
199607,17,199607,17,5561788,IOWA,Flash Flood,CRAWFORD,0,0,0,0,.3M,.2M,,,,
199606,17,199606,25,5553844,IOWA,Flood,MARSHALL,0,0,0,0,,,,,,
199606,17,199606,25,5553847,IOWA,Flood,DALLAS,0,0,0,0,,,,,,
199607,17,199607,17,5561794,IOWA,Flash Flood,CARROLL,0,0,0,0,.3M,.2M,,,,
199607,17,199607,17,5561795,IOWA,Flood,CRAWFORD,0,0,0,0,15K,,,,,
199607,17,199607,17,5561796,IOWA,Flood,CARROLL,0,0,0,0,15K,,,,,
199607,17,199607,17,5561797,IOWA,Flood,POLK,0,0,0,0,30K,,,,,
199607,17,199607,17,5561798,IOWA,Flood,WARREN,0,0,0,0,15K,,,,,
199606,17,199606,25,5553692,IOWA,Flood,CALHOUN,0,0,0,0,,,,,,
199605,9,199605,10,5557824,IOWA,Flood,SCOTT,0,0,0,0,,,,,,
199605,9,199605,10,5557825,IOWA,Flood,KEOKUK,0,0,0,0,,,,,,
199605,10,199605,11,5544267,IOWA,Flood,LUCAS,0,0,0,0,,,,,,
199605,10,199605,11,5544268,IOWA,Flood,TAYLOR,0,0,0,0,,,,,,
199605,26,199605,31,5544725,IOWA,Flood,WAYNE,0,0,0,0,,,,,,
199605,26,199605,31,5544726,IOWA,Flood,APPANOOSE,0,0,0,0,,,,,,
199605,26,199605,31,5544711,IOWA,Flood,ADAIR,0,0,0,0,,,,,,
199606,17,199606,25,5553848,IOWA,Flood,POLK,0,0,0,0,,,,,,
199606,16,199606,17,5553470,IOWA,Flash Flood,HARDIN,0,0,0,0,.2M,.1M,,,,
199606,17,199606,20,5553471,IOWA,Flood,HAMILTON,0,0,0,0,,,,,,
199606,17,199606,20,5553472,IOWA,Flood,BOONE,0,0,0,0,,,,,,
199606,17,199606,20,5553473,IOWA,Flood,STORY,0,0,0,0,1M,.5M,,,,
199605,26,199605,31,5544717,IOWA,Flood,UNION,0,0,0,0,,,,,,
199605,26,199605,31,5544718,IOWA,Flood,CLARKE,0,0,0,0,,,,,,
199605,26,199605,31,5544719,IOWA,Flood,LUCAS,0,0,0,0,,,,,,
199605,23,199605,24,5544693,IOWA,Flood,UNION,0,0,0,0,,,,,,
199605,26,199605,31,5544712,IOWA,Flood,MADISON,0,0,0,0,,,,,,
199605,23,199605,24,5544694,IOWA,Flood,CLARKE,0,0,0,0,,,,,,
199606,20,199606,20,5553659,IOWA,Flash Flood,SAC,0,0,0,0,50K,10K,,,,
199606,20,199606,20,5553660,IOWA,Flood,SAC,0,0,0,0,30K,5K,,,,
199606,17,199606,25,5553850,IOWA,Flood,POWESHIEK,0,0,0,0,,,,,,
199606,20,199606,28,5553854,IOWA,Flood,CALHOUN,0,0,0,0,,,,,,
199606,20,199606,20,5553661,IOWA,Flood,CARROLL,0,0,0,0,30K,5K,,,,
199606,20,199606,20,5553662,IOWA,Flood,AUDUBON,0,0,0,0,30K,5K,,,,
199605,9,199605,10,5557821,IOWA,Flood,IOWA,0,0,0,0,,,,,,
199605,9,199605,10,5557829,IOWA,Flood,VAN BUREN,0,0,0,0,,,,,,
199605,9,199605,10,5557830,IOWA,Flood,LEE,0,0,0,0,,,,,,
199606,17,199606,25,5553690,IOWA,Flood,FAYETTE,0,0,0,0,,,,,,
199606,20,199606,28,5553853,IOWA,Flood,SAC,0,0,0,0,,,,,,
199605,26,199605,31,5544715,IOWA,Flood,MAHASKA,0,0,0,0,,,,,,
199606,20,199606,28,5553857,IOWA,Flood,GREENE,0,0,0,0,,,,,,
199606,20,199606,28,5553858,IOWA,Flood,AUDUBON,0,0,0,0,,,,,,
199605,23,199605,24,5544687,IOWA,Flood,ADAIR,0,0,0,0,,,,,,
199605,23,199605,24,5544688,IOWA,Flood,MADISON,0,0,0,0,,,,,,
199605,26,199605,31,5544716,IOWA,Flood,ADAMS,0,0,0,0,,,,,,
199606,17,199606,25,5553691,IOWA,Flood,SAC,0,0,0,0,,,,,,
199606,17,199606,25,5553845,IOWA,Flood,TAMA,0,0,0,0,,,,,,
199605,23,199605,24,5544698,IOWA,Flood,TAYLOR,0,0,0,0,,,,,,
199605,26,199605,31,5544713,IOWA,Flood,WARREN,0,0,0,0,,,,,,
199605,26,199605,31,5544714,IOWA,Flood,MARION,0,0,0,0,,,,,,
199606,20,199606,20,5553664,IOWA,Flood,AUDUBON,0,0,0,0,50K,10K,,,,
199606,21,199606,21,5553665,IOWA,Flash Flood,CARROLL,0,0,0,0,.25M,75K,,,,
199605,23,199605,24,5544695,IOWA,Flood,LUCAS,0,0,0,0,,,,,,
199605,23,199605,24,5544696,IOWA,Flood,MONROE,0,0,0,0,,,,,,
199605,23,199605,24,5544697,IOWA,Flood,WAPELLO,0,0,0,0,,,,,,
