id,foreign_id,lat,lng,description,river,town,active
723,ENISH03,40.915696,-95.275368,East Nishnabotna River at 270th St at Coburg (ENISH03),East Nishnabotna River,Coburg,t
11898,WELSHLAKE01,43.430665,-95.172421,Welsh Lake at Triboji Beach (WELSHLAKE01),Welsh Lake,Triboji Beach,t
1024,SBVRCRK01,42.4125,-93.2611,South Beaver Creek at US HWY 65 at Owasa (SBVRCRK01),South Beaver Creek,Owasa,t
11887,NFELKHRN02,42.351063,-97.617943,North Fork Elkhorn River at Osmond (NFELKHRN02),North Fork Elkhorn River,Osmond,t
11851,UIWARV01,43.305006,-91.744897,Upper Iowa River at Freeport (UIWARV01),Upper Iowa River,Freeport,t
716,CHSLSCR01,43.133826,-93.226035,Cheslea Creek at 19th St SW at Mason City (CHSLSCR01),Cheslea Creek,Mason City,t
1653,SQWCR04,42.180817,-93.757788,Ioway Creek at 120th St at Story City (SQWCR04),Ioway Creek,Story City,t
999,BFFLOCR02,41.7232,-91.6666,Buffalo Creek at James Ave NW at Tiffin (BFFLOCR02),Buffalo Creek,Tiffin,t
1883,DRNGDTCH01,42.577661,-92.847178,Drainage Ditch at Aplington (DRNGDTCH01),Drainage Ditch,Aplington,t
1814,ROGERSCR01,43.141718,-91.932728,Rogers Creek at HWY24 (ROGERSCR01),Rogers Creek,Fort Atkinson,t
1989,SHLRK03,42.900684,-92.812714,Shell Rock at Greene (SHLRK03),Shell Rock,Greene,t
11891,NFELKHRN01,42.01833,-97.387627,North Fork Elkhorn River at Norfolk (NFELKHRN01),North Fork Elkhorn River,Norfolk,t
1001,CLRCRKW01,41.7166,-91.8907,Clear Creek at V Ave at Homestead (CLRCRKW01),Clear Creek,Homestead,t
1014,MRGNCR01,41.9954,-91.7561,Morgan Creek at Covington Rd at Cedar Rapids (MRGNCR01),Morgan Creek,Cedar Rapids,f
1026,SFIOWA01,42.4362,-93.3471,South Fork Iowa River at H Ave at Buckeye (SFIOWA01),South Fork Iowa River,Buckeye,f
1848,MQKTARV05,42.577124,-91.54805,Maquoketa River at Richland ST/County W69 (MQKTARV05),Maquoketa River,Dundee,t
1976,CDRCR01,41.118615,-92.938364,Cedar Creek at Lovilia (CDRCR01),Cedar Creek,Lovilia,t
1921,WNISH01,40.686911,-95.600036,West Nishnabotna River at Riverton (WNISH01),West Nishnabotna River,Riverton,t
1949,HEWITTCR01,42.485506,-91.10963,Hewitt Creek at Dyersville (HEWITTCR01),Hewitt Creek,Dyersville,t
1019,OTTERCR01,42.0714,-91.7257,Otter Creek at Tower Terrace Rd at Hiawatha (OTTERCR01),Otter Creek,Hiawatha,t
1820,ROCKCR02,43.284056,-92.926655,Rock Creek at HWY9 (ROCKCR02),Rock Creek,Osage,t
11873,TKYRV04,43.14713,-91.930372,Turkey River at Ft. Atkinson (TKYRV04),Turkey River,Ft. Atkinson,t
11853,NRCCNRV01,41.688393,-94.035011,North Raccoon River at Adel (NRCCNRV01),North Raccoon River,Adel,t
1738,CEDARRV06,43.355409,-92.925178,Cedar River at St Ansgar (CEDARRV06),Cedar River,St. Ansgar,t
721,EFDSMNS01,42.951322,-94.2335,East Fork Des Moines River at 130th St at Algona (EFDSMNS01),East Fork Des Moines River,Algona,t
1003,DEEPCRK01,41.9622,-90.4685,Deep Creek at Broadway St at Charlotte (DEEPCRK01),Deep Creek,Charlotte,t
250502,FLDCRK2505,42.86189,-92.698838,Flood Creek near Packard (FLDCRK2505),Flood Creek,Packard,t
1909,CEDARRV02,41.845057,-91.390158,Cedar River at Sutliff (CEDARRV02) ,Cedar River,Sutliff,t
11848,MUDCR02,42.101208,-92.066368,Mud Creek at Vinton (MUDCR02),Mud Creek,Vinton,t
1749,INDIAN02,41.044804,-95.366453,Indian Creek at Emerson (INDIAN02),Indian Creek,Emerson,t
11855,INDCRK01,41.284298,-95.836006,Indian Creek at Council Bluffs (INDCRK01),Indian Creek,Council Bluffs,t
1953,WAPSI04,42.00897,-91.139147,Wapsipinicon River at Olin (WAPSI04),Wapsipinicon River,Olin,t
743,SHLRK06,43.166203,-93.038048,Shell Rock River at 277th St at Nora Springs (SHLRK06),Shell Rock River,Nora Springs,t
1865,BLCKHWK01,41.502715,-90.624221,Blackhawk Creek at Davenport (BLCKHWK01),Blackhawk Creek,Davenport,t
746,SQWCR01,42.013553,-93.610153,Ioway Creek at S outh Duff Ave at Ames (SQWCR01),Ioway Creek,Ames,t
1657,PRAIRIE01,42.121699,-93.755448,Prairie Creek at V Ave at Gilbert (PRAIRIE01),Prairie Creek,Gilbert,t
1864,GRNGRCR01,42.4549,-90.6595,Granger Creek at Dubuque (GRNGRCR01),Granger Creek,Dubuque,t
727,INDCR02,41.994834,-91.617753,Indian Creek at Cottage Grove Ave SE at Cedar Rapids (INDCR02),Indian Creek,Cedar Rapids,t
1764,MAPLERV02,42.503756,-95.431959,Maple River at Galva (MAPLERV02),Maple River,Galva,t
1039,LTLWAPSI01,43.112665,-92.40527,Little Wapsipinicon River at N Washington (LTLWAPSI01),Little Wapsipinicon River,North Washington,t
1675,SOAPCR02,40.84952,-92.538281,Soap Creek at Falcon Boulevard at Drakesville (SOAPCR02),Soap Creek,Drakesville,t
736,NRCCNRV04,42.457564,-95.012886,North Raccoon River at 230th St at Sac City (NRCCNRV04),North Raccoon River,Sac City,t
1906,COFFINSCR01,42.495217,-91.562759,Coffins Creek at Masonville(COFFINSCR01),Coffins Creek,Masonville,t
1866,DUCKCR02,41.549912,-90.551328,Duck Creek at Davenport (DUCKCR02),Duck Creek,Davenport,f
742,SHLRK04,42.936283,-92.851475,Shell Rock River at 290th St at Marble Rock (SHLRK04),Shell Rock River,Marble Rock,t
250901,UIWARV04,43.466738,-92.297739,Upper Iowa River near Lime Springs,Upper Iowa River,Lime Springs,t
1674,LTLSOAP01,40.900895,-92.333087,Little Soap Creek at Quail Ave at Floris (LTLSOAP01),Little Soap Creek,Floris,t
1913,EBRBVRDAM01,42.995719,-93.201867,East Branch Beaver Dam Creek at Rockwell (EBRBVRDAM01),East Branch Beaver Dam Creek,Rockwell,f
1671,CHQSTCR01,40.772143,-92.092274,Chequest Creek at County V64 at Keosauqua (CHQSTCR01),Chequest Creek,Keosauqua,t
1980,BOONERV01,42.724556,-93.947083,Boone River at Goldfield (BOONERV01),Boone River,Goldfield,t
11886,ELKHRNRV01,42.432922,-98.598938,Elkhorn River at O''Neil (ELKHRNRV01),Elkhorn River,O''Neil,t
