id,foreign_id,lat,lng,description,river,town,active
699,05389500,43.027222,-91.173056,Mississippi River at McGregor (MCGI4),Mississippi,McGregor,t
637,05484650,41.561656,-93.703554,Raccoon River at 63rd St at Des Moines (DMWI4-05484650),Raccoon River,Des Moines,t
1970,06602190,42.475,-96.1897,Elliott Creek at Lawton (06602190),Elliott Creek,Lawton,t
673,06904010,40.692517,-92.772418,Chariton River near Moulton (MOLI4-06904010),Chariton River,Moulton,t
1944,06478500,43.185826,-97.635622,James River near Scotland (06478500),James River,Scotland,t
675,06609100,41.534167,-96.096389,Missouri River near Blair (BLAN1),Missouri,Blair,t
671,06903400,40.95189,-93.259848,Chariton River near Chariton (CHTI4-06903400),Chariton River,Chariton,t
624,05476590,43.126111,-94.705833,Des Moines River at Emmetsburg (EMTI4-05476590),Des Moines River,Emmetsburg,t
1968,06483495,43.2453,-96.1775,Burr Oak Creek near Perkins (06483495),Burr Oak Creek,Perkins,t
713,YANS2,42.866111,-97.393611,Missouri River at Yankton (YANS2),Missouri,Yankton,t
2326,06817300,40.727472,-94.98025,East Nodaway River at Highway 2 near Clarinda (06817300),East Nodaway River,Clarinda,t
1938,06482610,43.616363,-96.565323,Big Sioux River near Hawarden (06483950),Split Rock Creek,Brandon,t
541,05454000,41.700017,-91.487668,Rapid Creek near Iowa City (05454000),Rapid Creek,Iowa City,t
629,05481000,42.432475,-93.805776,Boone River near Webster City (WBCI4-05481000),Boone River,Webster City,t
659,06607200,42.156934,-95.810007,Maple River at Mapleton (MAPI4-06607200),Maple River,Mapleton,t
1642,ESKI4,42.166111,-93.577778,South Skunk River at Ames (ESKI4),South Skunk River,Ames,t
605,05459500,43.164962,-93.192703,Winnebago River at Mason City (MCWI4-05459500),Winnebago River,Mason City,t
591,05418500,42.083353,-90.632912,Maquoketa River near Maquoketa (MAQI4-05418500),Maquoketa River,Maquoketa,t
632,05482000,41.612489,-93.621051,Des Moines River at 2nd Ave at Des Moines (DMOI4-05482000),Des Moines River,Des Moines,t
677,BRLI4,40.79806,-91.09167,Mississippi River at Burlington (BRLI4),Mississippi,Burlington,t
1939,06485910,42.626383,-96.515587,Vermillion River near Vermillion (06479010),Big Sioux River,Jefferson,t
588,05412020,42.843485,-91.401277,Turkey River above French Hollow Cr at Elkader (EKDI4-05412020),Turkey River abv French Hollow Cr,Elkader,t
1607,05420460,41.827331,-90.180766,Beaver Slough at 3rd St at Clinton (05420460-CBSI4),Beaver Slough,Clinton,t
615,05465700,41.103194,-91.063528,Iowa River at Oakville (OKVI4-05465700),Iowa River,Oakville,t
601,05457700,43.062195,-92.673884,Cedar River at Charles City (CCYI4-05457700),Cedar River,Charles City,t
670,06898000,40.64028,-93.80828,Thompson River at Davis City (DVSI4-06898000),Thompson River,Davis City,t
521,05389000,43.111927,-91.265132,Yellow River near Ion (05389000),Yellow River,Ion,t
573,05488110,41.360553,-92.973256,Des Moines River near Pella (05488110),Des Moines River,Pella,t
589,05412500,42.739988,-91.261799,Turkey River at Garber (GRBI4-05412500),Turkey River,Garber,t
617,05470500,42.023042,-93.630496,Ioway Creek at Ames (AMWI4-05470500),Ioway Creek,Ames,t
672,06903700,40.800561,-93.19243,South Fork Chariton River near Promise City (PRMI4-06903700),South Fork Chariton River,Promise City,t
825,05451080,42.543611,-93.589444,South Fork Iowa River near Blairsburg (05451080),South Fork Iowa River,Blairsburg,t
1987,bsrs2,42.761737,-96.632551,Big Sioux River at Richland (BSRS2),Big Sioux,Richland,t
564,05482300,42.354427,-94.990822,North Raccoon River near Sac City (05482300),North Raccoon River,Sac City,t
530,05422470,41.551144,-90.455132,Crow Creek at Bettendorf (05422470),Crow Creek,Bettendorf,t
12847,CBSS2,43.3071,-96.5283,Big Sioux River above Canton (CBSS2),Big Sioux River,Canton,t
664,06808500,40.873055,-95.580275,West Nishnabotna River at Randolph (RDPI4-06808500),West Nishnabotna River,Randolph,t
1681,05388310,43.451111,-91.505,Waterloo Creek near Dorchester (05388310),Waterloo Creek,Dorchester,t
1935,06481500,43.533587,-96.790885,Skunk Creek at Sioux Falls (06481500),Skunk Creek,Sioux Falls,t
1975,06816290,41.2455,-94.7578,West Nodaway River at Massena (06816290),West Nodaway River,Massena,t
634,05482500,41.988039,-94.376913,North Raccoon River near Jefferson (EFWI4-05482500),North Raccoon River,Jefferson,t
642,05487470,41.337216,-93.486325,South River near Ackworth (AKWI4-05487470),South River,Ackworth,t
568,05484800,41.587211,-93.703276,Walnut Creek at Des Moines (05484800),Walnut Creek,Des Moines,t
709,06485950,42.524444,-96.480556,Big Sioux River at Sioux City (06485950-SXCI4),Big Sioux River,Sioux City,t
1936,06482000,43.501086,-96.748384,Big Sioux River near Dell Rapids (06482000),Big Sioux River,Sioux Falls,t
1912,0546494170,41.673628,-91.343195,West Branch Wapsinonoc Creek at College St at West Branch,West Branch Wapsinonoc Creek,West Branch,t
1969,06600030,43.186,-95.7251,Little Floyd River near Sanborn (06600030),Little Floyd River,Sanborn,t
1966,05483349,42.0417,-94.8789,Middle Raccoon River Tributary at Carroll (05483349),Middle Raccoon River Tributary,Carroll,t
554,05471200,41.805266,-93.309374,Indian Creek near Mingo (05471200),Indian Creek,Mingo,t
526,05418400,42.164405,-90.728246,North Fork Maquoketa River near Fulton (05418400),North Fork Maquoketa River,Fulton,t
701,MRPN1,42.575,-96.683333,Missouri River near Ponca (MRPN1),Missouri,Ponca,t
579,06903900,40.821872,-92.891254,Chariton River near Rathbun (06903900),Chariton River,Rathbun,t
614,05465500,41.178086,-91.182094,Iowa River at Wapello (WAPI4-05465500),Iowa River,Wapello,t
1682,05414400,42.560556,-90.859722,Middle Fk Little Maquoketa R near Rickardsville (05414400),Middle Fk Little Maquoketa River,Rickardsville,t
1964,05481510,42.1664,-94.02,Bluff Creek at Pilot Mound (05481510),Bluff Creek,Pilot Mound,t
684,05489200,41.15611,-92.638803,Des Moines River near Eddyville (05489200-EDYI4),Des Moines River,Eddyville,t
574,05488200,41.300553,-93.045481,English Creek near Knoxville (05488200),English Creek,Knoxville,t
627,05479000,42.723582,-94.193489,East Fork Des Moines River at Dakota City (DAKI4-05479000),East Fork Des Moines River,Dakota City,t
