Join_Count,TARGET_FID,id,foreign_id,foreign_id1,lat,lng,description,river,town,active,TNMID,METASOURCE,SOURCEDATA,SOURCEORIG,SOURCEFEAT,LOADDATE,GNIS_ID,AREAACRES,AREASQKM,STATES,HUC8,NAME,Shape_Leng,usgs_site_no_revised
1,21,668,06817000,icli4,40.743278,-95.014194,Nodaway River at Clarinda (ICLI4-06817000),Nodaway River,Clarinda,t,{FA50E6A8-6A6D-40A9-BCD3-8C237F688B6F}, , , , ,6/11/2012 0:00:00,0.0,508815.37,2059.1,IA,10240009.0,West Nodaway,3.20564145523,6817000
0,22,1932,06479525,csws2,44.731548,-97.044652,Big Sioux River near Castlewood (06479525),Big Sioux River,Castlewood,t,,,,,,,,,,,,,,6479525
1,23,639,05485500,desi4,41.577767,-93.605495,Des Moines River blw Raccoon R. at Des Moines (DESI4-05485500),Des Moines River blw Raccoon R.,Des Moines,t,{6BC7C38A-1876-4BD3-89C0-5898FB18BBA1}, , , , ,6/11/2012 0:00:00,0.0,1563257.96,6326.29,IA,7100008.0,Lake Red Rock,6.18966542928,5485500
0,24,700,MKLN1,mkln1,42.715556,-96.949167,Missouri River near Maskell (MKLN1),Missouri,Maskell,t,,,,,,,,,,,,,,6465500
1,25,562,05480820,gldi4,42.724417,-93.946694,Boone River near Goldfield (05480820),Boone River,Goldfield,t,{F9346510-2B8F-40F7-810D-6F1E7A48ADB6}, , , , ,6/11/2012 0:00:00,0.0,581403.23,2352.86,IA,7100005.0,Boone,3.29791974075,5480820
1,26,546,05455100,ioci4,41.606405,-91.615724,Old Mans Creek near Iowa City (05455100),Old Mans Creek,Iowa City,t,{81FC7671-7479-4492-AE19-BF9BA3BFFE14}, , , , ,6/11/2012 0:00:00,0.0,1078893.67,4366.13,IA,7080209.0,Lower Iowa,5.82214410209,5455100
1,27,646,05490500,keqi4,40.727806,-91.959617,Des Moines River at Keosauqua (KEQI4-05490500),Des Moines River,Keosauqua,t,{BD63BFB7-471A-41B1-8B65-1FCFFD956A3C}, , , , ,6/11/2012 0:00:00,0.0,1370685.19,5546.97,"IA,MO",7100009.0,Lower Des Moines,5.89631193612,5490500
1,28,552,05464220,dysi4,42.251658,-92.298798,Wolf Creek near Dysart (05464220),Wolf Creek,Dysart,t,{10D6BD99-0D47-4E35-9629-7F5417158BDF}, , , , ,6/11/2012 0:00:00,0.0,1546778.49,6259.6,IA,7080205.0,Middle Cedar,5.82086975405,5464220
1,29,628,05480500,fodi4,42.508303,-94.203573,Des Moines River at Fort Dodge (FODI4-05480500),Des Moines River,Fort Dodge,t,{691DCFE7-DFF0-48AA-9159-7CD3F9B2C5C2}, , , , ,6/11/2012 0:00:00,0.0,1104287.57,4468.9,IA,7100004.0,Middle Des Moines,7.05359467269,5480500
1,30,1688,05464780,cebi4,41.787222,-91.31375,Cedar River at Cedar Bluff (05464780),Cedar River,Cedar Bluff,t,{65F2CD30-B70F-474A-8E7D-FFABDB288751}, , , , ,6/11/2012 0:00:00,0.0,703253.72,2845.97,IA,7080206.0,Lower Cedar,4.56838127734,5464780
