Join_Count,TARGET_FID,id,foreign_id,lat,lng,description,river,town,active,TNMID,METASOURCE,SOURCEDATA,SOURCEORIG,SOURCEFEAT,LOADDATE,GNIS_ID,AREAACRES,AREASQKM,STATES,HUC8,NAME,Shape_Leng
0,1,11890,MPLECR01,41.575119000000001,-96.790160999999998,Maple Creek at North Bend (MPLECR01),Maple Creek,North Bend,t,,,,,,,,,,,,,
1,2,722,ENDWY01,40.727395999999999,-94.979788999999997,East Nodoway River at Hwy 2 at Clarinda (ENDWY01),East Nodaway River,Clarinda,t,{8DA1A254-3909-4A8F-8659-399066C5B692}, , , , ,6/11/2012 0:00:00,0,639551.500000000000000,2588.179999999999836,"IA,MO",10240010,Nodaway,4.966330428910000
1,3,717,CLRCRK02,41.714221999999999,-91.779110000000003,Clear Creek at Chambers Ave NW at Oxford (CLRCRK02),Clear Creek,Oxford,t,{81FC7671-7479-4492-AE19-BF9BA3BFFE14}, , , , ,6/11/2012 0:00:00,0,1078893.669999999925494,4366.130000000000109,IA,07080209,Lower Iowa,5.822144102090000
0,4,1979,POUDRERV01,40.629707000000003,-105.168633000000000,Cache la Poudre River at Bellvue (POUDRERV01),Cache la Poudre River,Bellvue,t,,,,,,,,,,,,,
1,5,1676,SOAPCR03,40.888095000000000,-92.680712000000000,Soap Creek at 313th Ave at Unionville (SOAPCR03),Soap Creek,Unionville,t,{BD63BFB7-471A-41B1-8B65-1FCFFD956A3C}, , , , ,6/11/2012 0:00:00,0,1370685.189999999944121,5546.970000000000255,"IA,MO",07100009,Lower Des Moines,5.896311936120000
0,6,1669,SKKMCHCK01,46.772199999999998,-122.923599999999993,Skookumchuck River at Centralia (SKKMCHCK01),Skookunchuck River,Centralia,f,,,,,,,,,,,,,
1,7,11893,TROUTCRK01,43.273853000000003,-91.784667999999996,Trout Creek at Decorah (TROUTCRK01),Trout Creek,Decorah,t,{342979AC-90B2-4197-A662-8F96F2E3F98B}, , , , ,6/11/2012 0:00:00,0,639677.180000000051223,2588.679999999999836,"IA,MN",07060002,Upper Iowa,4.030460944340000
1,8,1917,WATERMAN01,42.967773999999999,-95.425320999999997,Waterman Creek at Sutherland (WATERMAN01),Waterman Creek,Sutherland,t,{AC6CFCCF-A163-42EF-A69B-B849D9CA226B}, , , , ,12/1/2016 0:00:00,0,1812413.429999999934807,7334.579999999999927,"IA,MN",10230003,Little Sioux,8.940255633720000
0,9,11892,SFELKHRN01,42.251300999999998,-98.338531000000003,South Fork Elkhorn River at Ewing (SFELKHRN01),South Fork Elkhorn River,Ewing,t,,,,,,,,,,,,,
1,10,1827,DSMNSRV03,42.121549999999999,-93.967917000000000,Des Moines River at Kale RD (DSMNSRV03),Des Moines River,Fraser,t,{691DCFE7-DFF0-48AA-9159-7CD3F9B2C5C2}, , , , ,6/11/2012 0:00:00,0,1104287.570000000065193,4468.899999999999636,IA,07100004,Middle Des Moines,7.053594672690000
1,11,11894,TROUTCRK02,43.252417999999999,-91.807968000000002,Trout Creek at Decorah (TROUTCRK02),Trout Creek,Decorah,t,{342979AC-90B2-4197-A662-8F96F2E3F98B}, , , , ,6/11/2012 0:00:00,0,639677.180000000051223,2588.679999999999836,"IA,MN",07060002,Upper Iowa,4.030460944340000
1,12,11856,WILLOWCR01,42.862312000000003,-96.055969000000005,Willow Creek at Oyens (WILLOWCR01),Willow Creek,Oyens,t,{0E741BD6-D424-4C09-B0FD-E17D9C27E19D}, , , , ,10/6/2016 0:00:00,0,586327.510000000009313,2372.789999999999964,IA,10230002,Floyd,3.753769183560000
1,13,11861,BUFFALO01,42.195779000000002,-91.423147000000000,Buffalo Creek at Prairieburg (BUFFALO01),Buffalo Creek,Prairieburg,t,{D3C57FE4-D26B-46B6-B387-EAB1A96A2CF0}, , , , ,6/11/2012 0:00:00,0,1003377.819999999948777,4060.530000000000200,"IA,MN",07080102,Upper Wapsipinicon,5.638303150900000
1,14,1884,SPRNGCRK01,43.284179000000002,-92.769861000000006,Spring Creek at Osage (SPRNGCRK01),Spring Creek,Osage,t,{6AE5D8A8-3316-49A6-B484-84B00A70076D}, , , , ,6/11/2012 0:00:00,0,1078114.469999999972060,4362.979999999999563,"IA,MN",07080201,Upper Cedar,5.430390329960000
1,15,11849,MUDCR03,42.079514000000003,-92.113815000000002,Mud Creek at Garrison (MUDCR03),Mud Creek,Garrison,t,{10D6BD99-0D47-4E35-9629-7F5417158BDF}, , , , ,6/11/2012 0:00:00,0,1546778.489999999990687,6259.600000000000364,IA,07080205,Middle Cedar,5.820869754050000
1,16,1915,CEDARCRK01,41.009739000000003,-92.118780999999998,Cedar Creek at Batavia (CEDARCRK01),Cedar Creek,Batavia,t,{D6567D53-25C9-4F9D-9848-7A6CD56F39B3}, , , , ,6/11/2012 0:00:00,0,1045531.640000000013970,4231.119999999999891,IA,07080107,Skunk,5.038709947180000
1,17,1880,COONCR01,42.191457000000000,-92.455620999999994,Coon Creek at Traer(COONCR01),Coon Creek,Traer,t,{10D6BD99-0D47-4E35-9629-7F5417158BDF}, , , , ,6/11/2012 0:00:00,0,1546778.489999999990687,6259.600000000000364,IA,07080205,Middle Cedar,5.820869754050000
1,18,1756,YELLOWRV01,43.139538999999999,-91.587033000000005,Yellow River at Postville (YELLOWRV01),Yellow River,Postville,t,{66B6FBB4-281D-44B8-AEEC-70EBBC503DA2}, , , , ,2/1/2017 0:00:00,0,911495.160000000032596,3688.690000000000055,"IA,MN,WI",07060001,Coon-Yellow,4.441622441490000
1,19,1004,DEERCR01,41.680700000000002,-91.637299999999996,Deer Creek at Kansas Ave SW at Iowa City (DEERCR01),Deer Creek,Iowa City,t,{81FC7671-7479-4492-AE19-BF9BA3BFFE14}, , , , ,6/11/2012 0:00:00,0,1078893.669999999925494,4366.130000000000109,IA,07080209,Lower Iowa,5.822144102090000
1,20,1812,MQKTARV01,42.260185999999997,-91.192875999999998,Maquoketa River at HWY38 (MQKTARV01),Maquoketa River,Monticello,t,{54F3C0AD-2A15-441C-BD3B-1373FB7DBC85}, , , , ,6/11/2012 0:00:00,0,1196986.080000000074506,4844.039999999999964,IA,07060006,Maquoketa,5.431519367430000
1,21,11871,SKNKRV01,40.936109000000002,-91.618752000000001,Skunk River at Mt. Pleasant (SKNKRV01),Skunk River,Mt. Pleasant,t,{D6567D53-25C9-4F9D-9848-7A6CD56F39B3}, , , , ,6/11/2012 0:00:00,0,1045531.640000000013970,4231.119999999999891,IA,07080107,Skunk,5.038709947180000
1,22,1869,NORTHRV01,41.508040000000001,-93.484973999999994,North River at Carlisle (NORTHRV01),North River,Carlisle,t,{6BC7C38A-1876-4BD3-89C0-5898FB18BBA1}, , , , ,6/11/2012 0:00:00,0,1563257.959999999962747,6326.289999999999964,IA,07100008,Lake Red Rock,6.189665429280000
1,23,11852,IOWARV03,42.516972000000003,-93.307807999999994,Iowa RIver at Iowa Falls (IOWARV03),Iowa RIver,Iowa Falls,t,{ECE669E9-D814-4A42-9574-B61B0BEEF0E1}, , , , ,6/11/2012 0:00:00,0,931827.099999999976717,3770.969999999999800,IA,07080207,Upper Iowa,5.688151990180000
1,24,1757,CEDARRV04,42.847420000000000,-92.522109999999998,Cedar River at Plainfield (CEDARRV04),Cedar River,Plainfield,t,{6AE5D8A8-3316-49A6-B484-84B00A70076D}, , , , ,6/11/2012 0:00:00,0,1078114.469999999972060,4362.979999999999563,"IA,MN",07080201,Upper Cedar,5.430390329960000
1,25,1025,SENGLSH01,41.493800000000000,-91.943899999999999,South English River at 120th St near Kinross (SENGLSH01),South English River,Kinross,t,{81FC7671-7479-4492-AE19-BF9BA3BFFE14}, , , , ,6/11/2012 0:00:00,0,1078893.669999999925494,4366.130000000000109,IA,07080209,Lower Iowa,5.822144102090000
1,26,1021,PRICECR01,41.805100000000003,-91.873000000000005,Price Creek at 42nd Ave at Amana Colonies (PRICECR01),Price Creek,Amana Colonies,f,{D0140C1A-627A-43BA-BA40-75FC583D2728}, , , , ,6/11/2012 0:00:00,0,1060665.780000000027940,4292.369999999999891,IA,07080208,Middle Iowa,5.655465700650000
1,27,1829,NRCCNRV03,41.853270999999999,-94.220369000000005,North Raccoon River at  P46 (D AVE) (NRCCNRV03),North Raccoon River,Dawson,t,{642334D3-7EFA-4E7E-9500-F5A9E8FBF717}, , , , ,6/11/2012 0:00:00,0,1581359.739999999990687,6399.539999999999964,IA,07100006,North Raccoon,7.633529864860000
1,28,11860,LTTLEWAPSI01,42.576321000000000,-92.034271000000004,Little Wapsipinicon River at Littleton (LTTLEWAPSI01),Little Wapsipinicon River,Littleton,t,{D3C57FE4-D26B-46B6-B387-EAB1A96A2CF0}, , , , ,6/11/2012 0:00:00,0,1003377.819999999948777,4060.530000000000200,"IA,MN",07080102,Upper Wapsipinicon,5.638303150900000
1,29,250902,UIWARV03,43.441305999999997,-92.035944000000001,Upper Iowa River near Kendallville,Upper Iowa River,Kendallville,t,{342979AC-90B2-4197-A662-8F96F2E3F98B}, , , , ,6/11/2012 0:00:00,0,639677.180000000051223,2588.679999999999836,"IA,MN",07060002,Upper Iowa,4.030460944340000
1,30,11864,BEARCR01,42.053176999999998,-90.995806000000002,Bear Creek at Wyoming (BEARCR01),Bear Creek,Wyoming,t,{54F3C0AD-2A15-441C-BD3B-1373FB7DBC85}, , , , ,6/11/2012 0:00:00,0,1196986.080000000074506,4844.039999999999964,IA,07060006,Maquoketa,5.431519367430000
1,31,1950,BEAR01,42.484336999999996,-91.140490999999997,Bear Creek at Dyersville (BEAR01),Bear Creek,Dyersville,t,{54F3C0AD-2A15-441C-BD3B-1373FB7DBC85}, , , , ,6/11/2012 0:00:00,0,1196986.080000000074506,4844.039999999999964,IA,07060006,Maquoketa,5.431519367430000
1,32,745,SLVRCR01,41.117449999999998,-95.630947000000006,Silver Creek at Dobney Ave at Silver City (SLVRCR01),Silver Creek,Silver City,t,{0ADD5A65-48D5-4C2D-9478-CC5524DCBC96}, , , , ,6/11/2012 0:00:00,0,1056982.610000000102445,4277.460000000000036,IA,10240002,West Nishnabotna,4.762228051400000
