Join_Count,TARGET_FID,id,foreign_id,foreign_id1,lat,lng,description,town,active,TNMID,METASOURCE,SOURCEDATA,SOURCEORIG,SOURCEFEAT,LOADDATE,GNIS_ID,AREAACRES,AREASQKM,STATES,HUC8,NAME,Shape_Leng
1,24,3054,HS0010,6010,43.392544,-92.297653,HS0010 IFC-Hydrostation,Lime Springs,t,{5F37CEFE-0361-453D-BE80-A71DB9CD1EF6}, , , , ,6/11/2012 0:00,0,1084109.94,4387.24,IA,7060004,Turkey,4.59363229
1,25,3031,HS0004,6004,41.805709,-91.288833,HS0004 IFC-Hydrostation,Tipton,t,{65F2CD30-B70F-474A-8E7D-FFABDB288751}, , , , ,6/11/2012 0:00,0,703253.72,2845.97,IA,7080206,Lower Cedar,4.568381277
1,26,3041,HS0030,6030,41.422279,-91.082764,HS0030 IFC-Hydrostation,Muscatine,t,{C5D4BA12-6399-4A40-A170-2F26C7D2C6B1}, , , , ,6/11/2012 0:00,0,634693.16,2568.51,"IA,IL",7080101,Copperas-Duck,5.584625166
1,27,3049,HS0020,6020,42.403919,-90.700981,HS0020 IFC-Hydrostation,Dubuque,t,{D09DB136-C0FD-4F58-8B45-0382680A89B4}, , , , ,6/11/2012 0:00,0,951301.75,3849.79,"IA,IL,WI",7060005,Apple-Plum,4.724932311
1,28,3030,HS0005,6005,41.98912,-91.770134,HS0005 IFC-Hydrostation,Palo,t,{10D6BD99-0D47-4E35-9629-7F5417158BDF}, , , , ,6/11/2012 0:00,0,1546778.49,6259.6,IA,7080205,Middle Cedar,5.820869754
1,29,3051,HS0026,6026,42.48444,-91.497398,HS0026 IFC-Hydrostation,Manchester,t,{54F3C0AD-2A15-441C-BD3B-1373FB7DBC85}, , , , ,6/11/2012 0:00,0,1196986.08,4844.04,IA,7060006,Maquoketa,5.431519367
1,30,3033,HS0002,6002,41.288588,-91.571753,HS0002 IFC-Hydrostation,Ainsworth,t,{81FC7671-7479-4492-AE19-BF9BA3BFFE14}, , , , ,6/11/2012 0:00,0,1078893.67,4366.13,IA,7080209,Lower Iowa,5.822144102
1,31,3036,HS0019,6019,42.801763,-91.323713,HS0019 IFC-Hydrostation,Communia,t,{5F37CEFE-0361-453D-BE80-A71DB9CD1EF6}, , , , ,6/11/2012 0:00,0,1084109.94,4387.24,IA,7060004,Turkey,4.59363229
1,32,3046,HS0016,6016,42.349709,-92.494781,HS0016 IFC-Hydrostation,Hudson,t,{10D6BD99-0D47-4E35-9629-7F5417158BDF}, , , , ,6/11/2012 0:00,0,1546778.49,6259.6,IA,7080205,Middle Cedar,5.820869754
1,33,3057,HS0022,6022,42.914043,-92.238602,HS0022 IFC-Hydrostation,Fredericksburg,t,{D3C57FE4-D26B-46B6-B387-EAB1A96A2CF0}, , , , ,6/11/2012 0:00,0,1003377.82,4060.53,"IA,MN",7080102,Upper Wapsipinicon,5.638303151
1,34,3035,HS0009,6009,41.55606,-93.285029,HS0009 IFC-Hydrostation,Prairie City,t,{6BC7C38A-1876-4BD3-89C0-5898FB18BBA1}, , , , ,6/11/2012 0:00,0,1563257.96,6326.29,IA,7100008,Lake Red Rock,6.189665429
1,35,3058,HS0025,6025,43.317009,-92.790352,HS0025 IFC-Hydrostation,Mitchell,t,{6AE5D8A8-3316-49A6-B484-84B00A70076D}, , , , ,6/11/2012 0:00,0,1078114.47,4362.98,"IA,MN",7080201,Upper Cedar,5.43039033
1,36,3048,HS0018,6018,42.090569,-90.684113,HS0018 IFC-Hydrostation,Maquoketa,t,{54F3C0AD-2A15-441C-BD3B-1373FB7DBC85}, , , , ,6/11/2012 0:00,0,1196986.08,4844.04,IA,7060006,Maquoketa,5.431519367
1,37,3018,RACCOON01,5093,42.0463,-94.4752,RACCOON01 IFC-Hydrostation,Jefferson,t,{642334D3-7EFA-4E7E-9500-F5A9E8FBF717}, , , , ,6/11/2012 0:00,0,1581359.74,6399.54,IA,7100006,North Raccoon,7.633529865
1,38,3037,HS0013,6013,41.025539,-91.765724,HS0013 IFC-Hydrostation,Lockridge,t,{D6567D53-25C9-4F9D-9848-7A6CD56F39B3}, , , , ,6/11/2012 0:00,0,1045531.64,4231.12,IA,7080107,Skunk,5.038709947
1,39,3045,HS0012,6012,41.295868,-92.613335,HS0012 IFC-Hydrostation,Oskaloosa,t,{A3289F99-CD86-4AF6-A77E-5442630D5AFD}, , , , ,6/11/2012 0:00,0,1179865.93,4774.75,IA,7080105,South Skunk,6.746242941
1,40,3039,HS0017,6017,40.713036,-91.243614,HS0017 IFC-Hydrostation,Wever,t,{83925D5C-3127-4C58-BFB6-A623B748AAE9}, , , , ,6/11/2012 0:00,0,1546231.99,6257.38,"IA,IL,MO",7080104,Flint-Henderson,6.48831613
1,41,3012,UPPRWAPSI02,5090,42.5224,-92.0764,UPPRWAPSI02 IFC-Hydrostation,Jesup,t,{D3C57FE4-D26B-46B6-B387-EAB1A96A2CF0}, , , , ,6/11/2012 0:00,0,1003377.82,4060.53,"IA,MN",7080102,Upper Wapsipinicon,5.638303151
1,42,3020,RACCOON03,5091,42.649,-95.1096,RACCOON03 IFC-Hydrostation,Storm Lake,t,{642334D3-7EFA-4E7E-9500-F5A9E8FBF717}, , , , ,6/11/2012 0:00,0,1581359.74,6399.54,IA,7100006,North Raccoon,7.633529865
1,43,3025,CROPRELAY01,5102,42.949501,-91.829201,CROPRELAY01 IFC-Hydrostation ,West Union,t,{5F37CEFE-0361-453D-BE80-A71DB9CD1EF6}, , , , ,6/11/2012 0:00,0,1084109.94,4387.24,IA,7060004,Turkey,4.59363229
1,44,3013,NSHNBTNA01,5097,40.878,-95.4991,NSHNBTNA01 IFC-Hydrostation,Randolph,t,{0ADD5A65-48D5-4C2D-9478-CC5524DCBC96}, , , , ,6/11/2012 0:00,0,1056982.61,4277.46,IA,10240002,West Nishnabotna,4.762228051
1,45,3017,NSHNBTNA05,5087,41.6941,-94.9242,NSHNBTNA05 IFC-Hydrostation,Audubon,t,{32B6905C-C90F-485E-92C6-683554366E45}, , , , ,6/11/2012 0:00,0,735184.84,2975.19,IA,10240003,East Nishnabotna,4.909905946
1,46,3022,MROHYDRO01,5095,41.640708,-91.541703,EXPERIMENTAL STATION,,t,{81FC7671-7479-4492-AE19-BF9BA3BFFE14}, , , , ,6/11/2012 0:00,0,1078893.67,4366.13,IA,7080209,Lower Iowa,5.822144102
1,47,3015,NSHNBTNA03,5099,41.39,-95.4609,NSHNBTNA03 IFC-Hydrostation ,Hancoc,f,{0ADD5A65-48D5-4C2D-9478-CC5524DCBC96}, , , , ,6/11/2012 0:00,0,1056982.61,4277.46,IA,10240002,West Nishnabotna,4.762228051
1,48,3021,RACCOON04,5096,42.902663,-94.884417,RACCOON04 IFC-Hydrostation,Swan Lake,t,{642334D3-7EFA-4E7E-9500-F5A9E8FBF717}, , , , ,6/11/2012 0:00,0,1581359.74,6399.54,IA,7100006,North Raccoon,7.633529865
1,49,3019,RACCOON02,5094,42.2343,-94.8035,RACCOON02 IFC-Hydrostation,Auburn,t,{642334D3-7EFA-4E7E-9500-F5A9E8FBF717}, , , , ,6/11/2012 0:00,0,1581359.74,6399.54,IA,7100006,North Raccoon,7.633529865
1,50,3011,UPPRIOWA02,5089,43.350263,-91.531616,UPPRIOWA02 IFC-Hydrostation,Waukon,t,{342979AC-90B2-4197-A662-8F96F2E3F98B}, , , , ,6/11/2012 0:00,0,639677.18,2588.68,"IA,MN",7060002,Upper Iowa,4.030460944
1,51,3005,UPPRIOWA01,5082,43.3279,-91.9569,UPPRIOWA01 IFC-Hydrostation ,Ridgeway,t,{342979AC-90B2-4197-A662-8F96F2E3F98B}, , , , ,6/11/2012 0:00,0,639677.18,2588.68,"IA,MN",7060002,Upper Iowa,4.030460944
1,52,3008,UPPRWAPSI01,5085,42.8011,-92.2503,UPPRWAPSI01 IFC-Hydrostation ,Tripoli,t,{D3C57FE4-D26B-46B6-B387-EAB1A96A2CF0}, , , , ,6/11/2012 0:00,0,1003377.82,4060.53,"IA,MN",7080102,Upper Wapsipinicon,5.638303151
1,53,3002,KNTPRK01,5079,41.7247,-91.7232,KNTPRK01 IFC-Hydrostation,Oxford,t,{81FC7671-7479-4492-AE19-BF9BA3BFFE14}, , , , ,6/11/2012 0:00,0,1078893.67,4366.13,IA,7080209,Lower Iowa,5.822144102
1,54,3001,CDRCRKWMA01,5078,40.9529,-93.082972,CDRCRKWMA01 IFC-Hydrostation ,Melrose,t,{BD63BFB7-471A-41B1-8B65-1FCFFD956A3C}, , , , ,6/11/2012 0:00,0,1370685.19,5546.97,"IA,MO",7100009,Lower Des Moines,5.896311936
1,55,3003,CCO02,5080,41.7416,-91.9433,CCO02 IFC-Hydrostation,South Amana,t,{81FC7671-7479-4492-AE19-BF9BA3BFFE14}, , , , ,6/11/2012 0:00,0,1078893.67,4366.13,IA,7080209,Lower Iowa,5.822144102
1,56,3009,ENGLSH01,5086,41.4831,-91.968,ENGLSH01 IFC-Hydrostation ,Kinross,t,{81FC7671-7479-4492-AE19-BF9BA3BFFE14}, , , , ,6/11/2012 0:00,0,1078893.67,4366.13,IA,7080209,Lower Iowa,5.822144102
1,57,3006,ENGLSH02,5083,41.699,-92.6293,ENGLSH02 IFC-Hydrostation ,Grinnell,t,{81FC7671-7479-4492-AE19-BF9BA3BFFE14}, , , , ,6/11/2012 0:00,0,1078893.67,4366.13,IA,7080209,Lower Iowa,5.822144102
1,58,3004,MDDLCDR02,5081,42.1941,-92.3553,MDDLCDR02 IFC-Hydrostation ,Dysart,t,{10D6BD99-0D47-4E35-9629-7F5417158BDF}, , , , ,6/11/2012 0:00,0,1546778.49,6259.6,IA,7080205,Middle Cedar,5.820869754
1,59,3007,MDDLCDR01,5084,42.3088,-92.7717,MDDLCDR01 IFC-Hydrostation ,Grundy Center,t,{10D6BD99-0D47-4E35-9629-7F5417158BDF}, , , , ,6/11/2012 0:00,0,1546778.49,6259.6,IA,7080205,Middle Cedar,5.820869754
