MACRO_START,CAPPED_EPISODE_END,TOTAL_EPISODE_DURATION,NEW_EPISODE_ID,BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,FLOOD_CAUSE,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
2023-05-13 16:00:00,2023-05-13 18:00:00,0 days 02:00:00,180948_0,202305,13,1600,202305,13,1800,180948,1102014,IOWA,19,2023,May,Flash Flood,C,21,BUENA VISTA,FSD,2023-05-13 16:00:00,CST-6,2023-05-13 18:00:00,0,0,0,0,0.00K,466.00K,Emergency Manager,Heavy Rain,1.67,WSW,ALBERT CITY,1.33,SSW,ALBERT CITY,42.7673,-94.9781,42.6985,-94.9822,"A weakening upper level low pressure area moved into far southeast South Dakota by early evening. Slow moving thunderstorms developed within a very narrow axis which nosed into Buena Vista County, where the environment featured maximized and collocated 0-3km shear and 0-3km CAPE, and resulted in a few brief tornadoes connected with storm development phase.  In addition, very efficient thermodynamic profiles resulted in extremely heavy rainfall rates, with observed rates up to 2 to 3 inches per hour.",Multiple rural roads south of Albert City were inundated by water.,CSV
2023-05-13 16:00:00,2023-05-13 18:00:00,0 days 02:00:00,180948_0,202305,13,1600,202305,13,1700,180948,1102029,IOWA,19,2023,May,Flash Flood,C,21,BUENA VISTA,FSD,2023-05-13 16:00:00,CST-6,2023-05-13 17:00:00,0,0,0,0,0.00K,0.00K,Emergency Manager,Heavy Rain,0.33,S,ALBERT CITY,0.09,SSE,ALBERT CITY,42.7753,-94.9502,42.7768,-94.9477,"A weakening upper level low pressure area moved into far southeast South Dakota by early evening. Slow moving thunderstorms developed within a very narrow axis which nosed into Buena Vista County, where the environment featured maximized and collocated 0-3km shear and 0-3km CAPE, and resulted in a few brief tornadoes connected with storm development phase.  In addition, very efficient thermodynamic profiles resulted in extremely heavy rainfall rates, with observed rates up to 2 to 3 inches per hour.",Water encroached into several basements around Albert City.,CSV
2023-05-13 16:00:00,2023-05-13 18:00:00,0 days 02:00:00,180948_0,202305,13,1630,202305,13,1800,180948,1102030,IOWA,19,2023,May,Flash Flood,C,21,BUENA VISTA,FSD,2023-05-13 16:30:00,CST-6,2023-05-13 18:00:00,0,0,0,0,10.00K,0.00K,Emergency Manager,Heavy Rain,1.29,NW,MARATHON,1.13,NW,MARATHON,42.8635,-94.9876,42.8632,-94.9854,"A weakening upper level low pressure area moved into far southeast South Dakota by early evening. Slow moving thunderstorms developed within a very narrow axis which nosed into Buena Vista County, where the environment featured maximized and collocated 0-3km shear and 0-3km CAPE, and resulted in a few brief tornadoes connected with storm development phase.  In addition, very efficient thermodynamic profiles resulted in extremely heavy rainfall rates, with observed rates up to 2 to 3 inches per hour.",A basement wall collapsed due to heavy rainfall and resultant flooding. Property damage costs are a rough estimate.,CSV
