MACRO_START,CAPPED_EPISODE_END,TOTAL_EPISODE_DURATION,NEW_EPISODE_ID,BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,FLOOD_CAUSE,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
2021-06-24 19:55:00,2021-06-25 00:00:00,0 days 04:05:00,158463_0,202106,24,1955,202106,24,2100,158463,964108,IOWA,19,2021,June,Flash Flood,C,101,JEFFERSON,DVN,2021-06-24 19:55:00,CST-6,2021-06-24 21:00:00,0,0,0,0,0.00K,0.00K,Law Enforcement,Heavy Rain,3.31,SE,COUNTY LINE,3.2,SE,COUNTY LINE,40.9209,-92.1296,40.9226,-92.1296,"A line of strong thunderstorms and heavy rain moved through Iowa on the 24th, which led to flash flooding for some areas. The areas seeing the largest impact were in Jefferson and Van Buren Counties in Iowa. The environment in which these storms were in not only favored thunderstorms, but heavy rain, as moisture indices were near record level. Very efficient rain rates were seen, where 2 to 3 inches per hour were common.",Sheriff office received a report of water over 265th street between Clearwood Avenue and Dewberry Avenue at 855 pm.,CSV
2021-06-24 19:55:00,2021-06-25 00:00:00,0 days 04:05:00,158463_0,202106,24,2002,202106,24,2200,158463,964110,IOWA,19,2021,June,Flash Flood,C,101,JEFFERSON,DVN,2021-06-24 20:02:00,CST-6,2021-06-24 22:00:00,0,0,0,0,0.00K,0.00K,Law Enforcement,Heavy Rain,2.5,SSW,LIBERTYVILLE,1.72,SSW,LIBERTYVILLE,40.918,-92.0724,40.9173,-92.0652,"A line of strong thunderstorms and heavy rain moved through Iowa on the 24th, which led to flash flooding for some areas. The areas seeing the largest impact were in Jefferson and Van Buren Counties in Iowa. The environment in which these storms were in not only favored thunderstorms, but heavy rain, as moisture indices were near record level. Very efficient rain rates were seen, where 2 to 3 inches per hour were common.",Sheriff office received report of Douds Road flooded near Lick Creek at 902 pm.,CSV
2021-06-24 19:55:00,2021-06-25 00:00:00,0 days 04:05:00,158463_0,202106,24,2100,202106,24,2300,158463,964112,IOWA,19,2021,June,Flash Flood,C,101,JEFFERSON,DVN,2021-06-24 21:00:00,CST-6,2021-06-24 23:00:00,0,0,0,0,0.00K,0.00K,Law Enforcement,Heavy Rain,1.58,S,LIBERTYVILLE,1.58,S,LIBERTYVILLE,40.9271,-92.0498,40.9251,-92.0497,"A line of strong thunderstorms and heavy rain moved through Iowa on the 24th, which led to flash flooding for some areas. The areas seeing the largest impact were in Jefferson and Van Buren Counties in Iowa. The environment in which these storms were in not only favored thunderstorms, but heavy rain, as moisture indices were near record level. Very efficient rain rates were seen, where 2 to 3 inches per hour were common.",A deputy reported water on Grasstree Avenue north of 265th Street near the bridge.,CSV
2021-06-24 19:55:00,2021-06-25 00:00:00,0 days 04:05:00,158463_0,202106,24,2200,202106,25,0,158463,964113,IOWA,19,2021,June,Flash Flood,C,177,VAN BUREN,DVN,2021-06-24 22:00:00,CST-6,2021-06-25 00:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,Heavy Rain,0.87,NE,LACEY KEOSAUQUA SP,0.82,SW,KEOSAUQUA,40.73,-91.97,40.7227,-91.9586,"A line of strong thunderstorms and heavy rain moved through Iowa on the 24th, which led to flash flooding for some areas. The areas seeing the largest impact were in Jefferson and Van Buren Counties in Iowa. The environment in which these storms were in not only favored thunderstorms, but heavy rain, as moisture indices were near record level. Very efficient rain rates were seen, where 2 to 3 inches per hour were common.",Reports of roads and culverts washed out throughout the county.,CSV
