MACRO_START,CAPPED_EPISODE_END,TOTAL_EPISODE_DURATION,NEW_EPISODE_ID,BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,FLOOD_CAUSE,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
2023-04-10 01:00:00,2023-04-13 01:00:00,3 days 00:00:00,179266_0,202304,10,100,202304,16,900,179266,1091967,IOWA,19,2023,April,Flood,C,21,BUENA VISTA,FSD,2023-04-10 01:00:00,CST-6,2023-04-16 09:00:00,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain / Snow Melt,62.43,WNW,LINN GROVE,61.32,W,LINN GROVE,43.08,-96.4545,43.0451,-96.5121,"Rapid snowmelt from a few day period of well above normal temperatures focused on the 11-13th of April resulted in minor to locally moderate flooding through much of the Big Sioux River Basin. Some areas north of I-90 lost between 2 to 5 inches of snow water equivalent (SWE) from the first to second week of April, but antecedent drought conditions resulted in only a percentage of this water actually making it into the river system.","The Big Sioux River near Hawarden, IA rose above flood stage on the morning of April 10th before cresting around 2.39 feet above flood stage (22.89 feet) on April 13th. The river then fell below flood stage on the morning of April 16th.",CSV
2023-04-10 01:00:00,2023-04-13 01:00:00,3 days 00:00:00,179266_0,202304,10,300,202304,13,900,179266,1091964,IOWA,19,2023,April,Flood,C,119,LYON,FSD,2023-04-10 03:00:00,CST-6,2023-04-13 09:00:00,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain / Snow Melt,0.38,NNE,KLONDIKE,1.5,WSW,INWOOD,43.385,-96.527,43.2971,-96.5305,"Rapid snowmelt from a few day period of well above normal temperatures focused on the 11-13th of April resulted in minor to locally moderate flooding through much of the Big Sioux River Basin. Some areas north of I-90 lost between 2 to 5 inches of snow water equivalent (SWE) from the first to second week of April, but antecedent drought conditions resulted in only a percentage of this water actually making it into the river system.","The Big Sioux River near Canton, SD rose above flood stage on the morning of April 10th before cresting around 1.02 feet above flood stage (1236.02 feet) on April 10th. The river then fell below flood stage on the morning of April 13th.",CSV
2023-04-10 01:00:00,2023-04-13 01:00:00,3 days 00:00:00,179266_0,202304,10,300,202304,13,900,179266,1091966,IOWA,19,2023,April,Flood,C,167,SIOUX,FSD,2023-04-10 03:00:00,CST-6,2023-04-13 09:00:00,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain / Snow Melt,3.46,NW,FAIRVIEW,2.28,WNW,FAIRVIEW,43.2601,-96.5549,43.2472,-96.5493,"Rapid snowmelt from a few day period of well above normal temperatures focused on the 11-13th of April resulted in minor to locally moderate flooding through much of the Big Sioux River Basin. Some areas north of I-90 lost between 2 to 5 inches of snow water equivalent (SWE) from the first to second week of April, but antecedent drought conditions resulted in only a percentage of this water actually making it into the river system.","The Big Sioux River near Canton, SD rose above flood stage on the morning of April 10th before cresting around 1.02 feet above flood stage (1236.02 feet) on April 10th. The river then fell below flood stage on the morning of April 13th.",CSV
2023-04-10 01:00:00,2023-04-13 01:00:00,3 days 00:00:00,179266_0,202304,10,2300,202304,16,2200,179266,1091969,IOWA,19,2023,April,Flood,C,149,PLYMOUTH,FSD,2023-04-10 23:00:00,CST-6,2023-04-16 22:00:00,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain / Snow Melt,5.46,N,AKRON,5.78,WSW,AKRON,42.9085,-96.5382,42.8245,-96.578,"Rapid snowmelt from a few day period of well above normal temperatures focused on the 11-13th of April resulted in minor to locally moderate flooding through much of the Big Sioux River Basin. Some areas north of I-90 lost between 2 to 5 inches of snow water equivalent (SWE) from the first to second week of April, but antecedent drought conditions resulted in only a percentage of this water actually making it into the river system.","The Big Sioux River near Akron, IA rose above flood stage on the evening of April 10th before cresting around 1.94 feet above flood stage (17.94 feet) on April 14th. The river then fell below flood stage on the evening of April 16th.",CSV
2023-04-10 01:00:00,2023-04-13 01:00:00,3 days 00:00:00,179266_0,202304,11,0,202304,18,1500,179266,1091962,IOWA,19,2023,April,Flood,C,119,LYON,FSD,2023-04-11 00:00:00,CST-6,2023-04-18 15:00:00,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain / Snow Melt,2.52,NW,GRANITE,2.1,NW,GRANITE,43.5,-96.5986,43.4825,-96.5849,"Rapid snowmelt from a few day period of well above normal temperatures focused on the 11-13th of April resulted in minor to locally moderate flooding through much of the Big Sioux River Basin. Some areas north of I-90 lost between 2 to 5 inches of snow water equivalent (SWE) from the first to second week of April, but antecedent drought conditions resulted in only a percentage of this water actually making it into the river system.","The Big Sioux River near Brandon, SD rose above flood stage during the early morning of April 11th before cresting around 1.51 feet above flood stage (1305.51 feet) on April 11th. The river then fell below flood stage on the afternoon of April 18th.",CSV
2023-04-10 01:00:00,2023-04-13 01:00:00,3 days 00:00:00,179266_0,202304,12,0,202304,16,2100,179266,1091970,IOWA,19,2023,April,Flood,C,149,PLYMOUTH,FSD,2023-04-12 00:00:00,CST-6,2023-04-16 21:00:00,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain / Snow Melt,2.13,NW,WESTFIELD,1.47,WNW,WESTFIELD,42.7743,-96.6258,42.7551,-96.6188,"Rapid snowmelt from a few day period of well above normal temperatures focused on the 11-13th of April resulted in minor to locally moderate flooding through much of the Big Sioux River Basin. Some areas north of I-90 lost between 2 to 5 inches of snow water equivalent (SWE) from the first to second week of April, but antecedent drought conditions resulted in only a percentage of this water actually making it into the river system.","The Big Sioux River near Richland, SD rose above flood stage during the early morning of April 12th before cresting around 1.36 feet above flood stage (1118.36 feet) on April 15th. The river then fell below flood stage on the evening of April 16th.",CSV
